episode,op_actual,category_id,generation_source,params_mutated,params_crossed,n_params_differ,ego_speed,ego_on_intersection,intersection_has_cars,distractor_cars,has_brake_checker,has_cluster,maximum_distractor_speed,distance_to_nearest,cluster_dist,brake_dist,intersection_cars,num_steps,reward_sum,pvl,failure,termination_reason
79,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,186,0.34829699993133545,0.09038129343741363,,out_of_road
80,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,236,5.258693218231201,0.11907703392365473,,out_of_road
81,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,325,6.257339000701904,0.17663890048574943,,out_of_road
82,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,306,6.1795430183410645,0.08667433879709517,,out_of_road
83,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,50,0.5336725115776062,0.04527731947600842,,out_of_road
84,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,820,28.53509521484375,0.2098745876747161,,out_of_road
85,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,182,5.260820388793945,0.11761288129939483,,out_of_road
86,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,133,-0.8191922903060913,0.11170932322852593,,out_of_road
87,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,120,1.5418832302093506,0.16486089492682368,,out_of_road
88,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,437,12.700709342956543,0.09374550916893873,,out_of_road
89,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,93,1.7995661497116089,0.16030561807815746,,out_of_road
90,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,33.209022521972656,0.1097105849115178,,max_step
91,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,32.207305908203125,0.08295300011709332,,max_step
92,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,25.3934383392334,0.11046164803253487,,max_step
93,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,752,18.709911346435547,0.12268769703594909,,out_of_road
94,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,84,1.1251291036605835,0.0034879247347513833,,out_of_road
95,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,873,4.8559441566467285,0.035357644962027396,,out_of_road
96,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,120,2.1631126403808594,0.16203348016521582,,out_of_road
97,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,375,0.017060160636901855,0.04407604273284475,,out_of_road
98,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,1000,34.04511642456055,0.15583164267148822,,max_step
99,fresh,0,fresh,,,0,0.0,0,0,0,0,0,10.0,5.0,5.0,20.0,0,434,-0.47629863023757935,0.07589057124700517,,out_of_road
